stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code,区名
S280100065900100,神前町,34.7155647045141,135.233289197966,Z000030,0,,,,,,,１,灘区
S280100065900300,神前町,34.7160507775072,135.234261330281,Z000030,0,,,,,,,３,灘区
S280100065900200,神前町,34.7151741357393,135.234122478045,Z000030,0,,,,,,,２,灘区
S280100066000100,将軍通,34.7140717371493,135.228706262255,Z000040,0,,,,,,,１,灘区
S280100066000200,将軍通,34.7145230921161,135.229608957651,Z000040,0,,,,,,,２,灘区
S280100066100100,水道筋１丁目,34.7135248931913,135.227039739197,Z000050,0,,,,,,,１,灘区
S280100066100200,水道筋１丁目,34.7136116859739,135.226831419564,Z000050,0,,,,,,,２,灘区
S280100066200100,水道筋３丁目,34.7125266879028,135.224227482197,Z000060,0,,,,,,,１,灘区
S280100066200200,水道筋３丁目,34.7130214407299,135.225026018879,Z000060,0,,,,,,,２,灘区
S280100066300100,水道筋６丁目,34.7110510996656,135.221484677748,Z000070,0,,,,,,,１,灘区
S280100066300200,水道筋６丁目,34.7117281285094,135.222352646618,Z000070,0,,,,,,,２,灘区
S280100066400100,阪急王子公園,34.7094626671886,135.218533565642,Z000080,0,,,,,,,１,灘区
S280100066400200,阪急王子公園,34.7095841810723,135.218464123891,Z000080,0,,,,,,,２,灘区
S280100066500100,王子動物園前,34.7089157821371,135.215026915715,Z007130,0,,,,,,,１,灘区
S280100066500200,王子動物園前,34.7091935451245,135.215756017486,Z007130,0,,,,,,,２,灘区
S280100066600100,上筒井１丁目,34.7082126506558,135.210895317943,Z007140,0,,,,,,,１,中央区
S280100066600200,上筒井１丁目,34.7085858954751,135.211902173698,Z007140,0,,,,,,,２,中央区
S280100066700100,上筒井４丁目,34.7078827984389,135.20950654834,Z007150,0,,,,,,,１,中央区
S280100066700200,上筒井４丁目,34.7079956329381,135.209402388245,Z007150,0,,,,,,,２,中央区
S280100066800100,上筒井６丁目,34.7072838739623,135.206937336838,Z007160,0,,,,,,,１,中央区
S280100066800200,上筒井６丁目,34.707518228346,135.207284524391,Z007160,0,,,,,,,２,中央区
S280100066900100,熊内１丁目,34.7068151517488,135.204923630396,Z007170,0,,,,,,,１,中央区
S280100066900200,熊内１丁目,34.7067630659646,135.204159808085,Z007170,0,,,,,,,２,中央区
S280100067000100,雲中小学校前,34.705626005859,135.20131285334,Z007180,0,,,,,,,１,中央区
S280100067000200,雲中小学校前,34.7060686724796,135.201903071438,Z007180,0,,,,,,,２,中央区
S280100067500100,高徳町５丁目,34.718116620422,135.241309285608,Z007110,0,,,,,,,１,灘区
S280100067500200,高徳町５丁目,34.7182207733106,135.241135686251,Z007110,0,,,,,,,２,灘区
S280100067600100,日尾町,34.716302504194,135.235545938948,Z007120,0,,,,,,,１,灘区
S280100067600200,日尾町,34.71667573688,135.236275032584,Z007120,0,,,,,,,２,灘区
S280100067700100,大橋２丁目,34.6567680317365,135.14878343714,Z001220,0,,,,,,,１,長田区
S280100067700200,大橋２丁目,34.6559781836755,135.148193227655,Z001220,0,,,,,,,２,長田区
S280100067800100,大橋,34.6585387137134,135.153053864756,Z001230,0,,,,,,,１,長田区
S280100067800200,大橋,34.657618661439,135.151526238277,Z001230,0,,,,,,,２,長田区
S280100067900100,湊町１丁目,34.6745614685177,135.177808574895,Z007220,0,,,,,,,１,兵庫区
S280100067900200,湊町１丁目,34.6759328605785,135.1779126905,Z007220,0,,,,,,,２,中央区
S280100068000100,兵庫大仏前,34.6672270894192,135.170552408108,Z005720,0,,,,,,,１,兵庫区
S280100068000200,兵庫大仏前,34.6674701137544,135.169406643045,Z005720,0,,,,,,,２,
S280100068000300,兵庫大仏前,34.6666542286151,135.168920585262,Z005720,0,,,,,,,３,兵庫区
S280100068100100,灘北通,34.7073795501849,135.21856833474,Z000090,0,,,,,,,１,灘区
S280100068100200,灘北通,34.7073448288877,135.218429457756,Z000090,0,,,,,,,２,灘区
S280100068200100,ＪＲ灘,34.7054612993478,135.21617273677,Z000100,0,,,,,,,１,灘区
S280100068300100,阪神岩屋,34.7031959317309,135.217353252194,Z000110,0,,,,,,,１,灘区
S280100068300200,阪神岩屋,34.7031872507384,135.217283813431,Z000110,0,,,,,,,２,灘区
S280100068400100,渚中学校前,34.7011822705261,135.217943537838,Z000120,0,,,,,,,１,中央区
S280100068500100,旭通３丁目,34.6977796062127,135.1983966201,Z000190,0,,,,,,,１,中央区
S280100068500200,旭通３丁目,34.6977101699647,135.19846606043,Z000190,0,,,,,,,２,中央区
S280100068600100,若菜通５丁目,34.7006005181483,135.202389267449,Z000200,0,,,,,,,１,中央区
S280100068600200,若菜通５丁目,34.7004963631844,135.202423989422,Z000200,0,,,,,,,２,中央区
S280100068700100,東雲通２丁目,34.7015032191829,135.204889031488,Z000210,0,,,,,,,１,中央区
S280100068700200,東雲通２丁目,34.7022670245533,135.204958449696,Z000210,0,,,,,,,２,中央区
S280100068800100,日暮通２丁目,34.7000276952526,135.20575705284,Z000220,0,,,,,,,１,中央区
S280100068900100,阪急春日野道,34.7034040687435,135.20686797917,Z000230,0,,,,,,,１,中央区
S280100069000100,筒井町１丁目,34.7040811019275,135.209194154818,Z000240,0,,,,,,,１,中央区
S280100069100100,筒井町３丁目,34.7004269823796,135.208569303816,Z000250,0,,,,,,,１,中央区
S280100069200100,筒井住宅北,34.7032825942473,135.210582947784,Z000260,0,,,,,,,１,中央区
S280100069300100,筒井住宅南,34.7013123301698,135.210756599958,Z000270,0,,,,,,,１,中央区
S280100069400100,筒井住宅前,34.701945952918,135.211416252661,Z000280,0,,,,,,,１,中央区
S280100069500100,脇浜町３丁目,34.7003142094307,135.212527321514,Z000290,0,,,,,,,１,中央区
S280100069500200,脇浜町３丁目,34.7000538220761,135.212562048192,Z000290,0,,,,,,,２,中央区
S280100069600100,旭中央住宅前,34.6973629863172,135.198570226946,Z000350,0,,,,,,,１,中央区
S280100069700100,灘小学校前,34.7128827136783,135.233671191385,Z000360,0,,,,,,,１,灘区
S280100069700200,灘小学校前,34.7125962695714,135.232664332643,Z000360,0,,,,,,,２,灘区
S280100069800100,城内通公園前,34.7076312389224,135.21745730635,Z000370,0,,,,,,,１,灘区
S280100069900100,ＪＲ灘北口,34.706494173484,135.215894957244,Z000380,0,,,,,,,１,灘区
S280100070000100,阪急王子公園北,34.7103045886857,135.218255790221,Z000390,0,,,,,,,１,灘区
S280100070000200,阪急王子公園北,34.7102351514274,135.21825579187,Z000390,0,,,,,,,２,灘区
S280100070100100,王子公園東,34.7122140847703,135.216832250048,Z000400,0,,,,,,,１,灘区
S280100070100200,王子公園東,34.7123008810735,135.216832248094,Z000400,0,,,,,,,２,灘区
S280100070200100,青谷川,34.7130993812014,135.215478174515,Z000410,0,,,,,,,１,灘区
S280100070200200,青谷川,34.7135073256652,135.215582323755,Z000410,0,,,,,,,２,灘区
S280100070300100,葺合高校前,34.7114241270386,135.210895249332,Z000420,0,,,,,,,１,中央区
S280100070400100,野崎通２丁目,34.7107384014786,135.208950980649,Z000430,0,,,,,,,１,中央区
S280100070500100,高尾西,34.7209024316368,135.218811052254,Z000490,0,,,,,,,１,灘区
S280100070600100,高尾東,34.7215013505375,135.220130370036,Z000500,0,,,,,,,１,灘区
S280100070700100,美野丘小学校前,34.7226296994233,135.220269222628,Z000510,0,,,,,,,１,灘区
S280100070800100,灘丸山公園前,34.7235410684638,135.22089414871,Z000520,0,,,,,,,１,灘区
S280100070900100,箕岡通,34.7221957594581,135.222178788918,Z000530,0,,,,,,,１,灘区
S280100071000100,篠原北町団地,34.7209719516914,135.223116241314,Z000540,0,,,,,,,１,灘区
S280100071100100,天神南,34.7169445310648,135.21919305573,Z000560,0,,,,,,,１,灘区
S280100071200100,赤坂通６丁目,34.7155123601118,135.217630720296,Z000570,0,,,,,,,１,灘区
S280100071300100,阪神新在家,34.7113031232021,135.241066443493,Z000580,0,,,,,,,１,灘区
S280100071300200,阪神新在家,34.710235531101,135.241483100166,Z000580,0,,,,,,,２,灘区
S280100071400100,新在家南住宅,34.7071889538456,135.240059683118,Z000600,0,,,,,,,１,灘区
S280100071500100,浜街道,34.7082739312148,135.24162202467,Z000610,0,,,,,,,１,灘区
S280100071600100,西郷,34.705383539663,135.236657234035,Z000590,0,,,,,,,１,灘区
S280100072000100,高羽小学校,34.7235586824776,135.238982953741,Z000650,0,,,,,,,１,灘区
